producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,60,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,4,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,5,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,8,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,40,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,60,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,4,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,5,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,8,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,40,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,60,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-ssd,10,ssd,3,0.0006621630195541475,0.0005921719543611633,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-ssd,15,ssd,3,0.0006623422917913981,0.0005923512265984139,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-tmpfs,10,tmpfs,3,0.0008005952056543857,0.000729001659569361,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-tmpfs,15,tmpfs,3,0.0008043991754481676,0.0007328056293631429,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-beegfs,10,beegfs,3,0.0011415711073399178,0.0009345776019743533,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-beegfs,15,beegfs,3,0.001168112736713805,0.0009611192313482404,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-beegfs,15,beegfs,3,0.0022242973344413154,0.002017303829075751,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-beegfs,10,beegfs,3,0.0022327866048232844,0.00202579309945772,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-tmpfs,15,tmpfs,3,0.02692681003501151,0.026855216488926484,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-tmpfs,10,tmpfs,3,0.026930569588689297,0.02685897604260427,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-ssd,10,ssd,3,0.0270456928424096,0.026975701777216615,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-ssd,15,ssd,3,0.027240104630541093,0.027170113565348108,6.999106519298423e-05
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,4,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,5,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,8,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,40,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,60,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,4,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,5,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,8,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,40,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,60,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,4,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,5,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,8,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,40,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,60,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-ssd,10,0.0007991654597267277,0.00020699350536556446,0.0005921719543611633
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-ssd,15,0.0007993447319639784,0.00020699350536556446,0.0005923512265984139
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-tmpfs,10,0.0009359951649349254,0.00020699350536556446,0.000729001659569361
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-tmpfs,15,0.0009397991347287073,0.00020699350536556446,0.0007328056293631429
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-beegfs,10,0.001006171148059378,7.159354608502472e-05,0.0009345776019743533
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-beegfs,15,0.0010327127774332652,7.159354608502472e-05,0.0009611192313482404
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-beegfs,15,0.0020872948942687354,6.999106519298423e-05,0.002017303829075751
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-beegfs,10,0.0020957841646507044,6.999106519298423e-05,0.00202579309945772
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-tmpfs,15,0.02692681003501151,7.159354608502472e-05,0.026855216488926484
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-tmpfs,10,0.026930569588689297,7.159354608502472e-05,0.02685897604260427
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-ssd,10,0.0270456928424096,6.999106519298423e-05,0.026975701777216615
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-ssd,15,0.027240104630541093,6.999106519298423e-05,0.027170113565348108
